報表名稱,全國環境水質監測資訊網－水質監測歷史數據下載,,,,,,,,,,,,,,,,,,
採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,採樣時間,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/6/15,13:31:00,1200,3.25,34.5,29,8.1,410,7.7,101.5,<1.0,34.4,1520,1100,0.03
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/5/8,13:50:00,1200,3.75,32.2,30.5,7.97,681,5.8,78.8,1.4,38.3,164,1200,0.01
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/4/11,13:50:53,1200,3.75,31.2,28.1,7.74,704,5.6,71.8,1.7,41.2,1300,18000,0.04
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/3/1,14:00:59,1200,3.25,22.2,24.1,7.96,692,6.6,79.4,1.2,33.8,1230,26000,0.04
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/2/1,14:03:22,1200,3.75,32.2,28.6,7.86,733,5.2,66.8,1.1,35.7,2440,56000,0.11
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2024/1/11,13:51:10,1200,3.25,24.2,26.4,7.98,750,7.3,91.4,1.1,34.4,391,23000,0.12
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/6/15,13:06:00,1334,5.5,36.1,31,7.83,770,4.7,63.2,8.9,46.1,43.8,340000,12.4
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/5/8,11:11:00,1334,5.5,38.2,29.2,7.72,712,4.6,60.7,10.7,56.6,46.6,200000,9.41
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/4/11,13:01:14,1334,6.25,31.3,27.8,7.69,795,4.6,59,9,54.3,51.5,240000,12.9
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/3/1,15:02:00,1334,5.5,23.3,24,7.66,734,5.2,61.6,6.7,44.5,39.7,290000,9.6
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/2/1,14:58:00,1334,5.5,33.2,27.7,7.64,708,5.4,69,7.8,41,43.8,90000,6.93
高屏溪流域,武洛溪,屏東縣,九如橋,乙,2024/1/11,15:13:47,1334,5.5,28.9,23.9,7.7,688,5.9,69.9,5.5,30.5,33.8,140000,5.91
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/6/15,13:51:44,1333,6.75,36.6,34.6,7.76,781,1.2,17.2,6.5,19.7,10.8,2200000,3.61
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/5/8,12:03:42,1333,6.75,36.5,32.2,7.9,887,1.2,16.7,8.3,34.7,6.8,520000,9.7
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/4/11,14:00:32,1333,6.75,31.3,29.7,7.83,1050,1.4,18,7.8,36,5.3,1200000,12.3
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/3/1,16:06:56,1333,6.75,24.6,23.8,7.88,854,1.8,21.4,6.1,29,16.4,820000,7.95
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/2/1,15:57:00,1333,5,31.3,29.3,7.76,782,2.5,32.2,4.9,20.1,10.3,150000,5.1
高屏溪流域,牛稠溪(屏),屏東縣,昌農橋,乙,2024/1/11,16:01:08,1333,3.5,27.8,25.2,7.79,787,4.2,50.3,2.4,9.4,6.4,71000,2.01
